[ 1/61] openssl362   OK  dist=27 ties=1
[ 2/61] openssl302   XX  dist=22 ties=1
[ 3/61] openssl323   XX  dist=21 ties=3
[ 4/61] openssl305   XX  dist=22 ties=1
[ 5/61] openssl332   XX  dist=18 ties=2
[ 6/61] openssl300   XX  dist=21 ties=2
[ 7/61] openssl314   XX  dist=21 ties=2
[ 8/61] openssl343   XX  dist=23 ties=1
[ 9/61] openssl334   XX  dist=23 ties=1
[10/61] openssl311   XX  dist=24 ties=1
[11/61] openssl309   XX  dist=20 ties=1
[12/61] openssl317   XX  dist=20 ties=1

=== nearest-cluster live validation: 1/12 correct (8.3%) over 442 traces, repeat=11 ===
