trace,put1,put2,diff_kinds,sig_put1,sig_put2,num_steps,candidate_path
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-170535904-524333f62e5230cc.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,766577f82afc70b538c9de6e0a08d5a80be2fd6ac64710ce420c86750ff18fb9,d268d22c8b27a939fc9ba7a433db24b6c7d6cfe07ff8847019e94f18df3c179a,6,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-170535904-524333f62e5230cc.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.6-5.8.0--22-27-01--0/objective/20260529-211756266-afdf2b7f0246e445.trace,wolfssl576,wolfssl580,Status,58913b2e3befdf8f2ef823c450217c81906c072e2aeee793f7a09b22f4337357,b64f80c66b6048e641dd0d7eeb54d0eec5ccc06e720d291d7de280c08646a597,5,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-211756266-afdf2b7f0246e445.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.6-5.8.0--22-27-01--0/objective/20260529-212210197-43f99181ab70bf3f.trace,wolfssl576,wolfssl580,Knowledges,58913b2e3befdf8f2ef823c450217c81906c072e2aeee793f7a09b22f4337357,da5c9d3bb837a0c458cae2052159cf97abaafb9098e4e50b0e4401808c775b8e,9,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-212210197-43f99181ab70bf3f.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.6-5.8.0--22-27-01--0/objective/20260529-212434392-7223f94ee7fce4ac.trace,wolfssl576,wolfssl580,Status,8924739e180fa2b8ba91da1251816f709a6ef11ccc8f50ffe31160b6a4e3bb40,b64f80c66b6048e641dd0d7eeb54d0eec5ccc06e720d291d7de280c08646a597,5,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-212434392-7223f94ee7fce4ac.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-170714500-8159dd91eba0bb0c.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,a91b08aa6cfb257fb13f2843260afb1cecf76ddaa2ffb715de80e39586c7547c,8ca32fdcccca40ce444afa1dbdd8c7d03988354078c5df6c9a584eebf6823928,4,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-170714500-8159dd91eba0bb0c.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.8.2-5.8.4--22-27-01--0/objective/20260529-204504846-4aa8d729b1838ecf.trace,wolfssl582,wolfssl584,Knowledges,da5c9d3bb837a0c458cae2052159cf97abaafb9098e4e50b0e4401808c775b8e,bde053fc9f1a76cfd0e11427527b1146d881a61203e46ddaba0a5806c2364aca,6,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-204504846-4aa8d729b1838ecf.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.8.4-5.9.0--22-27-01--0/objective/20260529-210443915-e340da467690fb36.trace,wolfssl584,wolfssl590,Knowledges,1f51a0137409682c7af9b924c533ec59008457e4a82e401a527833bae8c4b1b4,0180a06fb227e1a680a91c52544662d6690d1d276bf9e6c0f9a5c6bc1d92e1c8,12,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-210443915-e340da467690fb36.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.8.4-5.9.0--22-27-01--0/objective/20260529-212127216-268ea9d973320268.trace,wolfssl584,wolfssl590,Knowledges,e93c8830848055de4eb7abb0dbc754a0da315cd58e451aa3c54f864f42737778,a3952b6c35eeadfe4133b2989b90b96b2bf9460806cc175c153d8e36e2028ce6,10,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-212127216-268ea9d973320268.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.5.3-5.5.4--17-51-23--0/objective/20260529-155939434-aa1e3c9602c94abe.trace,wolfssl553-asan,wolfssl554-asan,Knowledges,2e52559d71cec3ccb6236ca43c09fabb34fe1c024aabd6ca7ee1409a6c3890ca,f24b44ac6e4c457ea6a445f68e5f1b79ff683d16e149b19a4fb5fe2d046fa671,4,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-155939434-aa1e3c9602c94abe.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.5.4-5.6.0--17-51-23--0/objective/20260529-155748114-b5ee14a58be6ce00.trace,wolfssl554-asan,wolfssl560-asan,Status,fea0cf2ca42882103ad7cad59d186f3aaf1c0de842849c6e5549c58ccd8fda69,294bd6bb63ed992782b98e2d81f08fd244f6220e0c973ea8f89562fbfc1e5f8b,6,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-155748114-b5ee14a58be6ce00.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.8.4-5.9.0--22-27-01--0/objective/20260529-203831815-86efbb218cd67f9d.trace,wolfssl584,wolfssl590,Status,88e7bc15d926cbf16efec4456638944f153f63025f5175575b099f68126c44ac,ce6186a05c1eb37d5216d75f7bd7937eaf43d36cfdad2a3359b4e4079be74d72,12,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-203831815-86efbb218cd67f9d.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.6.3-5.6.4--17-51-23--0/objective/20260529-155357947-bb7fcb3db8eda58c.trace,wolfssl563-asan,wolfssl564-asan,Knowledges,31e67a0820069bd8fc6ec1c1c4929c3842bacb80a204a78528b9c896acd7b569,3fcc352ae5b83442fa57ebd9505debad4123bcf29e1286421a45e0320f4f0e11,5,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-155357947-bb7fcb3db8eda58c.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.6.3-5.6.4--17-51-23--0/objective/20260529-160017144-0f62788082e2f299.trace,wolfssl563-asan,wolfssl564-asan,Knowledges,857836621b6dbf47347079a9698e423d009a1cd2984a1c3e61d3bb87c61690df,e9f4069795e345cf541b7d41c672262400522c74f9f08ea1e7ff9403fd7b417f,7,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-160017144-0f62788082e2f299.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.6-5.7.0--19-01-30--0/objective/20260529-170916246-f6fbf5b0acabe573.trace,wolfssl566-asan,wolfssl570-asan,Status,a4ca44385e22e0997335f64529cb49ef4066f73891820a3c7b2882f3ecf32465,aa77329d9a540073609426d69cb1272c0b52cd8752de901dd2736c2aea2993c7,13,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-170916246-f6fbf5b0acabe573.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-5cfpp-5.4.0-5.5.0--16-51-23--0/objective/20260529-145202367-91b99129b250e45b.trace,wolfssl540-asan,wolfssl550-asan,Knowledges,b5ec3c36fdc1984ac0beb9732afd0449f75b6d4458e94c6a2f0245d082eb312c,619bde5184b2772476828f58301c69c8fd315d8cbe10482712770b2397cde674,2,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-145202367-91b99129b250e45b.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.4-5.6.6--19-01-30--0/objective/20260529-171218101-0ca8fbe6d6f260a0.trace,wolfssl564-asan,wolfssl566-asan,Knowledges,7d75c76475a360c1220388a814404a3d0bbaa55ada7e89007e7bb1547e123402,f78d514db4b80a2c0ea3c12c966e69d057f5e879de85f1a6080bf4783cf0e9ab,14,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171218101-0ca8fbe6d6f260a0.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.6-5.7.0--19-01-30--0/objective/20260529-171204151-b0787b04a0cd0986.trace,wolfssl566-asan,wolfssl570-asan,Status,55869355068c624cf7d1c8d3ea5e279e6142862031dfcd2905e0d1f5c467d96d,b53c174c7c5b486b6ae6af303056e403d8119c5b05d19fd5aa69be71745ae85f,15,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171204151-b0787b04a0cd0986.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.6-5.7.0--19-01-30--0/objective/20260529-171716360-10946c7a6ecec79f.trace,wolfssl566-asan,wolfssl570-asan,Status,a4ca44385e22e0997335f64529cb49ef4066f73891820a3c7b2882f3ecf32465,3032b4e998bfed2f13a9b6c735b129d313ce9e9a43fca4929e72716cbfa0636e,10,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-171716360-10946c7a6ecec79f.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.6.6-5.7.0--19-01-30--0/objective/20260529-173051775-dd37a51656282270.trace,wolfssl566-asan,wolfssl570-asan,Status,b1e97dd985e1ae1e5350eef1b097ccc8da98889eab9adf44d9922a4584c456e8,2e71094b31235fe14f55c8b23384361fd30eebd9750f0f0b914c2f491fd103fd,9,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-173051775-dd37a51656282270.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.0-5.7.2--19-01-30--0/objective/20260529-172545144-2c23db65e97cd40c.trace,wolfssl570-asan,wolfssl572-asan,Knowledges,ae8f9539857cd42b6b467c9bca4a3519337ddcdd96983d6a6148e6114b886ec5,e549c3c5806da75e91e1cdf4a9923ade14100140b522db949ff0b4eeffaa74e9,6,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-172545144-2c23db65e97cd40c.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.0-5.7.2--19-01-30--0/objective/20260529-172703696-2bb03c1c79e93b8d.trace,wolfssl570-asan,wolfssl572-asan,Knowledges,60d1c1dc7839d7d233fbe27655655dff4c3f3f9c6e0d0887a45d9008ba95485a,89b87aaaff9fbadc84301a3afc8017a7e6d3dedb41e3da6104cd0b371f98c7fd,3,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-172703696-2bb03c1c79e93b8d.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.0-5.7.2--19-01-30--0/objective/20260529-172204307-91723d34fd7ca1a1.trace,wolfssl570-asan,wolfssl572-asan,Knowledges,39a1166db23c6a2d5db8af69405dacbcf319bcaab19cc258e04234f294966a97,a09bc59ec5614c5fbf96549b71a0602565056645f6c3d34bb4db72af44d285e4,13,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-172204307-91723d34fd7ca1a1.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.7.0-5.7.2--19-01-30--0/objective/20260529-173338134-bf9fc773c2419619.trace,wolfssl570-asan,wolfssl572-asan,Knowledges,96e119159d7ae40e324fdb3b4c7b430e55c5cec5541320e7896682bcd69d2856,89b87aaaff9fbadc84301a3afc8017a7e6d3dedb41e3da6104cd0b371f98c7fd,8,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-173338134-bf9fc773c2419619.trace
/home/lhirschi/DDYF-fingerprinting/experiments/2026-05-29--wolfssl-5.6.3-4cfpp-5.2.1-5.3.0--20-27-01--0/objective/20260529-185440072-7f0d37bdb78baf8c.trace,wolfssl521,wolfssl530,Knowledges,37330fed20c09aca23f1de2dfe262db3db11d302d54f76c32ed0bd2819353e00,f284295a793921e37ea1dbca2069dd50410f73ba4158427afeefee047ebc6096,6,/home/lhirschi/DDYF-fingerprinting/evaluation-ddyf/fingerprinting/candidates/20260529-185440072-7f0d37bdb78baf8c.trace
