,5.0.0,5.1.0,5.1.1,5.2.0,5.2.1,5.3.0,5.4.0,5.5.2,5.5.3,5.5.4,5.6.0,5.6.2,5.6.3,5.6.4,5.6.6,5.7.0,5.7.2,5.7.4,5.7.6,5.8.0,5.8.2,5.8.4,5.9.0,5.9.1
5.0.0,,,,,,,,,,,,,,,,,,,,,,,,
5.1.0,,,,,,,,,,,,,,3,3,3,,3,3,3,3,3,3,3
5.1.1,,,,,,,,,,,,,,3,3,3,,3,3,3,3,3,3,3
5.2.0,,,,,,,,,,,,,,3,3,3,,3,3,3,3,3,3,3
5.2.1,,,,,,,,,,,,,,,,,,,,,,,,
5.3.0,,,,,,,,,,,,,,3,3,3,,3,3,3,3,3,3,3
5.4.0,,,,,,,,,,,,,,,,,,,,,,,,
5.5.2,,,,,,,,,,,,,,,,,,,,,,,,
5.5.3,,,,,,,,,,,,,,,,,,,,,,,,
5.5.4,,,,,,,,,,,,,,,,,,,,,,,,
5.6.0,,,,,,,,,,,,,,,,,,,,,,,,
5.6.2,,,,,,,,,,,,,,,,,,,,,,,,
5.6.3,,,,,,,,,,,,,,,,,,,,,,,,
5.6.4,,3,3,3,,3,,,,,,,,,,,,3,3,3,3,3,3,3
5.6.6,,3,3,3,,3,,,,,,,,,,,,3,3,3,3,3,3,3
5.7.0,,3,3,3,,3,,,,,,,,,,,,3,3,3,3,3,3,3
5.7.2,,,,,,,,,,,,,,,,,,,,,,,,
5.7.4,,3,3,3,,3,,,,,,,,3,3,3,,,,,,3,3,3
5.7.6,,3,3,3,,3,,,,,,,,3,3,3,,,,,,3,3,3
5.8.0,,3,3,3,,3,,,,,,,,3,3,3,,,,,,3,3,3
5.8.2,,3,3,3,,3,,,,,,,,3,3,3,,,,,,3,3,3
5.8.4,,3,3,3,,3,,,,,,,,3,3,3,,3,3,3,3,,,
5.9.0,,3,3,3,,3,,,,,,,,3,3,3,,3,3,3,3,,,
5.9.1,,3,3,3,,3,,,,,,,,3,3,3,,3,3,3,3,,,
